fips,county,state,block_type,year
47091,Johnson County,Tennessee,B,2018.0
47093,Knox County,Tennessee,B,2018.0
47095,Lake County,Tennessee,B,2018.0
47097,Lauderdale County,Tennessee,B,2018.0
47099,Lawrence County,Tennessee,B,2018.0
47101,Lewis County,Tennessee,B,2018.0
47103,Lincoln County,Tennessee,B,2018.0
47105,Loudon County,Tennessee,B,2018.0
47107,McMinn County,Tennessee,B,2018.0
47109,McNairy County,Tennessee,B,2018.0
47111,Macon County,Tennessee,B,2018.0
47113,Madison County,Tennessee,B,2018.0
47115,Marion County,Tennessee,B,2018.0
47117,Marshall County,Tennessee,B,2018.0
47119,Maury County,Tennessee,B,2018.0
47121,Meigs County,Tennessee,B,2018.0
47123,Monroe County,Tennessee,B,2018.0
47125,Montgomery County,Tennessee,B,2018.0
47127,Moore County,Tennessee,B,2018.0
47129,Morgan County,Tennessee,B,2018.0
47131,Obion County,Tennessee,B,2018.0
47133,Overton County,Tennessee,B,2018.0
47135,Perry County,Tennessee,B,2018.0
47137,Pickett County,Tennessee,B,2018.0
47139,Polk County,Tennessee,B,2018.0
47141,Putnam County,Tennessee,B,2018.0
47143,Rhea County,Tennessee,B,2018.0
47145,Roane County,Tennessee,B,2018.0
47147,Robertson County,Tennessee,B,2018.0
47149,Rutherford County,Tennessee,B,2018.0
47151,Scott County,Tennessee,B,2018.0
47153,Sequatchie County,Tennessee,B,2018.0
47155,Sevier County,Tennessee,B,2018.0
47159,Smith County,Tennessee,B,2018.0
47161,Stewart County,Tennessee,B,2018.0
47163,Sullivan County,Tennessee,B,2018.0
47165,Sumner County,Tennessee,B,2018.0
47167,Tipton County,Tennessee,B,2018.0
47169,Trousdale County,Tennessee,B,2018.0
47171,Unicoi County,Tennessee,B,2018.0
47173,Union County,Tennessee,B,2018.0
47175,Van Buren County,Tennessee,B,2018.0
47177,Warren County,Tennessee,B,2018.0
47181,Wayne County,Tennessee,B,2018.0
47183,Weakley County,Tennessee,B,2018.0
47185,White County,Tennessee,B,2018.0
47187,Williamson County,Tennessee,B,2018.0
47189,Wilson County,Tennessee,B,2018.0
51141,Patrick County,Virginia,B,2007.0
51187,Warren County,Virginia,B,2009.0
1019,Cherokee County,Alabama,IMPED,2014.0
1029,Cleburne County,Alabama,IMPED,2015.0
1049,DeKalb County,Alabama,IMPED,2014.0
1055,Etowah County,Alabama,IMPED,2014.0
6013,Contra Costa County,California,IMPED,2022.0
6017,El Dorado County,California,IMPED,2015.0
8121,Washington County,Colorado,IMPED,2021.0
